generation	maxfit

1	399.367439789	76.2230115374
2	365.632415146	36.9407237554
3	366.639855032	21.1939801276
4	366.639855032	20.5383910986
5	359.018448145	31.7294125798
6	363.508576395	44.8781052488
7	365.254632948	33.0594368928
8	366.425956228	35.3281548085
9	365.632415146	22.0774472727
10	363.508576395	35.0292587211
11	363.508576395	22.050761748
12	363.508576395	36.3361714755
13	263.877586367	18.8007082394
14	263.733127822	15.3217890528
15	263.877586367	15.1556635834
16	300.043940061	30.5492761584
